id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
1331,A. M. Sneek,A. M. Sneek,,,https://www.facebook.com/search/results.php?init=quick&q=Clarisca%20Nereida%20Velasquez&tas=0.23712987835773125#!/marlon.avp?fref=ts,Arubaanse Volkspartij Partij,AVP,,,Estates of Aruba,7,,,http://www.parlamento.aw/plaat.php?fileid=6006&f=8f759fa7606806615a633baf7472c98613ed638c4ecf0a6f5d968a65249a074ed43887b4686d5ccb6ba8e4aa99694203b2884a0973028eadf37a9ee220e73e76,
1339,C. N. Velasquez,C. N. Velasquez,,,,Arubaanse Volkspartij Partij,AVP,,,Estates of Aruba,7,,,http://www.parlamento.aw/plaat.php?fileid=5978&f=692cf7ccb907d96cf377395753c67d1188bb0fa4b9e52f1e677cc846043d13d9b60f4850bb857a21bc3e8ad8afedb981e1dbfcb76a09002f639ea78dbdaa4465,
1754,C. V. J. Romero,C. V. J. Romero,crispin.romero@parlamento.aw,,,Movimiento Electoral di Pueblo,MEP,,,Estates of Aruba,7,,,http://www.parlamento.aw/plaat.php?fileid=5980&f=a26defe3dbad71ec83f12e72335d080cbfea0ff83fe7a8e41eadfac7bca3c12cdbe41a20245a1051b7e8b55ea9e63d72895bd54002d142c41a63f857b79535fe,
1740,D. P. Oduber,D. P. Oduber,danguillaume.oduber@parlamento.aw,,https://www.facebook.com/dangui.oduber,Movimiento Electoral di Pueblo,MEP,,,Estates of Aruba,7,,,http://www.parlamento.aw/plaat.php?fileid=5982&f=b3e50676b8c1b20f5ad800ce28042c705b307bf3e99889f31cf7baf3bc9424eefc8a391e050788cbe3d15d7bb5b2e0f445544a1a25216ff202d911d35f962059,
1329,"D. R. Rasmijn, BSc","D. R. Rasmijn, BSc",,,https://www.facebook.com/search/results.php?init=quick&q=Clarisca%20Nereida%20Velasquez&tas=0.23712987835773125#!/croesadviesbureau?fref=tshttps://www.facebook.com/search/results.php?init=quick&q=Clarisca%20Nereida%20Velasquez&tas=0.23712987835773125#!/donaldr.rasmijn?fref=ts,Arubaanse Volkspartij Partij,AVP,,,Estates of Aruba,7,,,http://www.parlamento.aw/plaat.php?fileid=5986&f=aea1e3ab05758a0b7a44c8a55e88b9ec36425bbb1100fefa1453ed9ec5fc4dca12b12e414891e8f621b2f794cb8e9593ebf7cb9dbd0e8cd170d7c283210997c4,
1750,G. F. Besaril,G. F. Besaril,guillfred.besaril@parlamento.aw,,https://www.facebook.com/ItzzCris?ref=ts&fref=ts#!/GuillfredBesaril?fref=ts,Movimiento Electoral di Pueblo,MEP,,,Estates of Aruba,7,,,http://www.parlamento.aw/plaat.php?fileid=5994&f=086206e7856cf37109fe2a434ee1ac971737ddba9920f3ab18cb91a9d8dc3b34a7b84e1bf4b6a556ff99553e8eb38e9ea325e7a14d9ae2d747f6861e9e4b8c72,
1742,G. F. Croes,G. F. Croes,glenbert.croes@parlamento.aw,GlenbertCroes,https://www.facebook.com/#!/glenbert.croes?fref=ts,Movimiento Electoral di Pueblo,MEP,,,Estates of Aruba,7,,,http://www.parlamento.aw/plaat.php?fileid=5988&f=5fefb32313ba33f689969c1cc1a739e9208c065788963fdcaa7d9e8c10304360a82c8faf3fff4885fc05767a48e540905a1d3909b300b4ad6f702771f47f3498,
1341,J. C. G. P. Kelly,J. C. G. P. Kelly,,,https://www.facebook.com/#!/mervin.ras?fref=tshttps://www.facebook.com/search/results.php?init=quick&q=Clarisca%20Nereida%20Velasquez&tas=0.23712987835773125#!/jeffrey.kelly.35574?fref=ts,Arubaanse Volkspartij Partij,AVP,,,Estates of Aruba,7,,,http://www.parlamento.aw/plaat.php?fileid=5996&f=f843013367a83c72d7d260199bf00f53bd6f60cb6aabfd958054b417073a47f07e9095afa6c4ec0ad6fa68c08e6e65933703b7416ecf7d1ff17d02a78fa7f1b6,
1325,"J. J. Arends-Reyes, BEd","J. J. Arends-Reyes, BEd",,,https://www.facebook.com/search/results.php?init=quick&q=Clarisca%20Nereida%20Velasquez&tas=0.23712987835773125#!/jennifer.arendsreyes?fref=ts,Arubaanse Volkspartij Partij,AVP,,,Estates of Aruba,7,,,http://www.parlamento.aw/plaat.php?fileid=5998&f=1d68fbb3fc391fd5d598dddd7b0e6e24ffd302e85851ed420bdcbecdc79c0ef7cc98c0cdb56d1c6020112d542fb4f040807ea5aa48055379ec924160bd4ad495,
1337,L. C. Jansen-Varlack,L. C. Jansen-Varlack,,,https://www.facebook.com/search/results.php?init=quick&q=Clarisca%20Nereida%20Velasquez&tas=0.23712987835773125#!/lorna.varlack?fref=ts,Arubaanse Volkspartij Partij,AVP,,,Estates of Aruba,7,,,http://www.parlamento.aw/plaat.php?fileid=6002&f=ccbe3489bc78801ff44a10367adda3125acf093791a4810adf75c2b6f3ed4490ffbc1319022ec53ad4b7610a0a666addf17b435574f38891fa9108184a2efb76,
