id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date
35932,AGEEV ALEKSANDR,ageey@house.gov.by,,unknown,unknown,Shklov constituency No. 90 (Mogilev region),House of Representatives,2012,,
35933,ALEKSEENKO VASILY,,,unknown,unknown,Grushevo constituency No. 98 (Minsk city),House of Representatives,2012,,
35934,ANDREICHENKO VLADIMIR,,,unknown,unknown,Dokshytsy constituency No. 22  (Vitebsk region),House of Representatives,2012,,
35935,APANASYUK LEONID,apanasyuk@house.gov.by,,unknown,unknown,Zhlobin constituency No. 40 (Gomel region),House of Representatives,2012,,
35936,BAZANOV VLADIMIR,,,unknown,unknown,Brest-border constituency No. 4 (Brest region),House of Representatives,2012,,
35937,BERESNEVA ELENA,beresneva@house.gov.by,,unknown,unknown,Grodno-Zanemansky constituency No. 49  (Grodno region),House of Representatives,2012,,
35938,BOGDANOVICH LARISA,,,unknown,unknown,Brest-Eastern Constituency No. 3  (Brest region),House of Representatives,2012,,
35939,BOIKO ANATOLY,boiko@house.gov.by,,unknown,unknown,Kopyl constituency No. 66 (Minsk region),House of Representatives,2012,,
35941,BOKHAN SERGEY,bokhan@house.gov.by,,unknown,unknown,Vitebsk-Zheleznodorozhny constituency No. 19  (Vitebsk region),House of Representatives,2012,,
35940,BORODENYA VALERY,borodenya@house.gov.by,,unknown,unknown,Vasnetsovsky constituency No. 93 (Minsk city),House of Representatives,2012,,
35942,BUSKO VITALY,busko@house.gov.by,,unknown,unknown,Vostochny constituency No. 107 (Minsk city),House of Representatives,2012,,
36061,CHEKAN SVETLANA,shekan@house.gov.by,,unknown,unknown,Khoiniki constituency No. 47  (Gomel region),House of Representatives,2012,,
36062,CHEREVACH VLADIMIR,cherevach@house.gov.by,,unknown,unknown,Oktiabrsky constituency No. 97 (Minsk city),House of Representatives,2012,,
35958,DANILEVICH TAISA,,,unknown,unknown,Soligorsk rural constituency district No. 69 (Minsk region),House of Representatives,2012,,
35960,DEDUSHKIN VLADIMIR,orsha_rik@tut.by,,unknown,unknown,Orsha-Dnepr constituency No. 27 (Vitebsk region),House of Representatives,2012,,
35959,DEVYATOVSKY VADIM,devyatovsky@house.gov.by,,unknown,unknown,Novopolotsk constituency No. 25 (Vitebsk region),House of Representatives,2012,,
35961,DOBRYNINA LIUDMILA,dobrynina@house.gov.by,,unknown,unknown,Orsha municipal constituency No. 26 (Vitebsk region),House of Representatives,2012,,
