id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
06461,Ahmed Laaouej,Laaouej Ahmed,eb.erbmahcal@jeuoaal.demha,,,PS,ps,area/brussel-hoofdstad,Brussel-Hoofdstad,Chamber of Representatives,54,,,http://www.lachambre.be/site/wwwroot/images/cv/06461.gif,male
01051,Alain Mathot,Mathot Alain,eb.erbmahcal@tohtam.niala,,,PS,ps,area/luik,Luik,Chamber of Representatives,54,,,http://www.lachambre.be/site/wwwroot/images/cv/01051.gif,male
06109,Alain Top,Top Alain,eb.remaked@pot.niala,,,sp.a,sp.a,area/west-vlaanderen,West-Vlaanderen,Chamber of Representatives,54,,,http://www.lachambre.be/site/wwwroot/images/cv/06109.gif,male
06749,Aldo Carcaci,Carcaci Aldo,eb.erbmahcal@icacrac.odla,,,Parti Populaire,parti_populaire,area/luik,Luik,Chamber of Representatives,54,,,http://www.lachambre.be/site/wwwroot/images/cv/06749.gif,male
Q476596,Alexander De Croo,Alexander De Croo,,,,Open Vld,open_vld,area/oost-vlaanderen,Oost-Vlaanderen,Chamber of Representatives,54,,2014-10-11,https://upload.wikimedia.org/wikipedia/commons/3/33/Alexander_de_croo_675.jpg,male
06796,An Capoen,Capoen An,eb.remaked@neopac.na,,,N-VA,n-va,area/west-vlaanderen,West-Vlaanderen,Chamber of Representatives,54,,,http://www.lachambre.be/site/wwwroot/images/cv/06796.gif,female
Q518520,André Flahaut,André Flahaut,,,,PS,ps,area/waals-brabant,Waals-Brabant,Chamber of Representatives,54,,2014-07-22,https://upload.wikimedia.org/wikipedia/commons/f/f4/Flahaut_010618-D-2987S-093_screen.jpg,male
00889,André Frédéric,Frédéric André,eb.erbmahcal@cirederf.erdna,,,PS,ps,area/luik,Luik,Chamber of Representatives,54,,,http://www.lachambre.be/site/wwwroot/images/cv/00889.gif,male
06106,Ann Vanheste,Vanheste Ann,eb.remaked@etsehnav.nna,,,sp.a,sp.a,area/west-vlaanderen,West-Vlaanderen,Chamber of Representatives,54,,,http://www.lachambre.be/site/wwwroot/images/cv/06106.gif,female
06813,Anne Dedry,Dedry Anne,eb.remaked@yrded.enna,,,Ecolo/Groen,groen,area/vlaams-brabant,Vlaams-Brabant,Chamber of Representatives,54,,,http://www.lachambre.be/site/wwwroot/images/cv/06813.gif,female
Q454893,Annemie Turtelboom,Annemie Turtelboom,,,,Open Vld,open_vld,area/antwerpen,Antwerpen,Chamber of Representatives,54,,2014-07-25,https://upload.wikimedia.org/wikipedia/commons/3/3f/Annemie-turtelboom-1379350142.jpg,female
01236,Barbara Pas,Pas Barbara,eb.remaked@sap.arabrab,,,Vlaams Belang,vlaams_belang,area/oost-vlaanderen,Oost-Vlaanderen,Chamber of Representatives,54,,,http://www.lachambre.be/site/wwwroot/images/cv/01236.gif,female
01200,Bart De Wever,De Wever Bart,eb.remaked@revewed.trab,,,N-VA,n-va,area/antwerpen,Antwerpen,Chamber of Representatives,54,,,http://www.lachambre.be/site/wwwroot/images/cv/01200.gif,male
01303,Benoit Hellings,Hellings Benoit,eb.erbmahcal@sgnilleh.tioneb,,,Ecolo/Groen,groen,area/brussel-hoofdstad,Brussel-Hoofdstad,Chamber of Representatives,54,,,http://www.lachambre.be/site/wwwroot/images/cv/01303.gif,male
06435,Benoît Dispa,Dispa Benoît,eb.erbmahcal@apsid.tioneb,,,cdH,cdh,area/namen,Namen,Chamber of Representatives,54,,,http://www.lachambre.be/site/wwwroot/images/cv/06435.gif,male
06663,Benoît Friart,Friart Benoît,eb.erbmahcal@trairf.tioneb,,,MR,mr,area/henegouwen,Henegouwen,Chamber of Representatives,54,,,http://www.lachambre.be/site/wwwroot/images/cv/06663.gif,male
01145,Benoît Lutgen,Lutgen Benoît,eb.erbmahcal@negtul.tioneb,,,cdH,cdh,area/luxemburg,Luxemburg,Chamber of Representatives,54,,,http://www.lachambre.be/site/wwwroot/images/cv/01145.gif,male
06423,Benoît Piedboeuf,Piedboeuf Benoît,eb.erbmahcal@fueobdeip.tioneb,,,MR,mr,area/luxemburg,Luxemburg,Chamber of Representatives,54,,,http://www.lachambre.be/site/wwwroot/images/cv/06423.gif,male
06147,Bert Wollants,Wollants Bert,eb.remaked@stnallow.treb,,,N-VA,n-va,area/antwerpen,Antwerpen,Chamber of Representatives,54,,,http://www.lachambre.be/site/wwwroot/images/cv/06147.gif,male
06793,Brecht Vermeulen,Vermeulen Brecht,eb.remaked@neluemrev.thcerb,,,N-VA,n-va,area/west-vlaanderen,West-Vlaanderen,Chamber of Representatives,54,,,http://www.lachambre.be/site/wwwroot/images/cv/06793.gif,male
01230,Carina Van Cauter,Van Cauter Carina,eb.remaked@retuacnav.anirac,,,Open Vld,open_vld,area/oost-vlaanderen,Oost-Vlaanderen,Chamber of Representatives,54,,,http://www.lachambre.be/site/wwwroot/images/cv/01230.gif,female
06385,Caroline Cassart-Mailleux,Cassart-Mailleux Caroline,eb.erbmahcal@xuelliam.enilorac,,,MR,mr,area/luik,Luik,Chamber of Representatives,54,,,http://www.lachambre.be/site/wwwroot/images/cv/06385.gif,female
01076,Catherine Fonck,Fonck Catherine,eb.erbmahcal@kcnof.enirehtac,,,cdH,cdh,area/henegouwen,Henegouwen,Chamber of Representatives,54,,,http://www.lachambre.be/site/wwwroot/images/cv/01076.gif,female
Q950958,Charles Michel,Charles Michel,,,,MR,mr,area/waals-brabant,Waals-Brabant,Chamber of Representatives,54,,2014-10-11,https://upload.wikimedia.org/wikipedia/commons/1/18/Charles_Michel_UNDP_2010.jpg,male
01094,Christian Brotcorne,Brotcorne Christian,eb.erbmahcal@enroctorb.naitsirhc,,,cdH,cdh,area/henegouwen,Henegouwen,Chamber of Representatives,54,,,http://www.lachambre.be/site/wwwroot/images/cv/01094.gif,male
06907,Christoph D'Haese,D'Haese Christoph,eb.remaked@eseahd.hpotsirhc,,,N-VA,n-va,area/oost-vlaanderen,Oost-Vlaanderen,Chamber of Representatives,54,,,http://www.lachambre.be/site/wwwroot/images/cv/06907.gif,male
Q3010154,Céline Fremault,Céline Fremault,,,,cdH,cdh,area/brussel-hoofdstad,Brussel-Hoofdstad,Chamber of Representatives,54,,2014-07-22,https://upload.wikimedia.org/wikipedia/commons/4/44/Céline_Fremault_2012.jpg,female
06219,Damien Thiéry,Thiéry Damien,eb.erbmahcal@yreiht.neimad,,,MR,mr,area/brussel-hoofdstad,Brussel-Hoofdstad,Chamber of Representatives,54,,,http://www.lachambre.be/site/wwwroot/images/cv/06219.gif,male
Q2949528,Daniel Bacquelaine,Daniel Bacquelaine,,,,MR,mr,area/luik,Luik,Chamber of Representatives,54,,2014-10-11,https://upload.wikimedia.org/wikipedia/commons/0/0a/2014-12-02_DB_Wavre.jpg,male
06682,Daniel Senesael,Senesael Daniel,eb.erbmahcal@leasenes.leinad,,,PS,ps,area/henegouwen,Henegouwen,Chamber of Representatives,54,,,http://www.lachambre.be/site/wwwroot/images/cv/06682.gif,male
06086,Daphné Dumery,Dumery Daphné,eb.remaked@yremud.enhpad,,,N-VA,n-va,area/west-vlaanderen,West-Vlaanderen,Chamber of Representatives,54,,,http://www.lachambre.be/site/wwwroot/images/cv/06086.gif,female
01259,David Clarinval,Clarinval David,eb.erbmahcal@lavniralc.divad,,,MR,mr,area/namen,Namen,Chamber of Representatives,54,,,http://www.lachambre.be/site/wwwroot/images/cv/01259.gif,male
01127,David Geerts,Geerts David,eb.remaked@streeg.divad,,,sp.a,sp.a,area/antwerpen,Antwerpen,Chamber of Representatives,54,,,http://www.lachambre.be/site/wwwroot/images/cv/01127.gif,male
01056,Denis Ducarme,Ducarme Denis,eb.erbmahcal@emracud.sined,,,MR,mr,area/henegouwen,Henegouwen,Chamber of Representatives,54,,,http://www.lachambre.be/site/wwwroot/images/cv/01056.gif,male
Q978208,Didier Reynders,Didier Reynders,,,,MR,mr,area/brussel-hoofdstad,Brussel-Hoofdstad,Chamber of Representatives,54,,2014-10-11,https://upload.wikimedia.org/wikipedia/commons/0/06/Didier_Reynders_par_Claude_Truong-Ngoc_avril_2015.jpg,male
06824,Dirk Janssens,Janssens Dirk,eb.remaked@snessnaj.krid,,,Open Vld,open_vld,area/vlaams-brabant,Vlaams-Brabant,Chamber of Representatives,54,2014-10-11,,http://www.lachambre.be/site/wwwroot/images/cv/6824.gif,male
00454,Dirk Van Mechelen,Van Mechelen Dirk,eb.remaked@nelehcemnav.krid,,,Open Vld,open_vld,area/antwerpen,Antwerpen,Chamber of Representatives,54,,,http://www.lachambre.be/site/wwwroot/images/cv/00454.gif,male
00565,Dirk Van der Maelen,Van der Maelen Dirk,eb.remaked@neleamrednav.krid,,,sp.a,sp.a,area/oost-vlaanderen,Oost-Vlaanderen,Chamber of Representatives,54,,,http://www.lachambre.be/site/wwwroot/images/cv/00565.gif,male
06884,Egbert Lachaert,Lachaert Egbert,eb.remaked@treahcal.trebge,,,Open Vld,open_vld,area/oost-vlaanderen,Oost-Vlaanderen,Chamber of Representatives,54,,,http://www.lachambre.be/site/wwwroot/images/cv/06884.gif,male
