id,name,sort_name,image,party,faction,email,area,area_id,term,source
247,Sadik Ahmetović,"Ahmetović, Sadik",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/sadik%20ahmetovic.jpg,SDA,SDA,sadik.ahmetovic@parlament.ba,RS 3,ocd-division/country:ba/unit:rs/entity:3,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=247
277,Jasmin Emrić,"Emrić, Jasmin",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/jasmin%20emric.jpg,A-SDA,"",jasmin.emric@parlament.ba,FBiH 1,ocd-division/country:ba/unit:fbih/entity:1,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=277
271,Nikola Lovrinović,"Lovrinović, Nikola",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/nikola%20lovrinovic.jpg,"Koalicija HDZ BiH, HSS, HKDU BiH, HSP DR. Ante Starčević, HSP Herceg-Bosne",HDZ BiH - Hrvatski narodni sabor,nikola.lovrinovic@parlament.ba,FBiH 4,ocd-division/country:ba/unit:fbih/entity:4,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=271
242,Asim Sarajlić,"Sarajlić, Asim",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/asim%20sarajlic.jpg,SDA,SDA,asim.sarajlic@parlament.ba,FBiH 3,ocd-division/country:ba/unit:fbih/entity:3,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=242
267,Damir Arnaut,"Arnaut, Damir",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/damir%20arnaut.jpg,SBB - Fahrudin Radončić,SBBBiH,damir.arnaut@parlament.ba,FBiH 3,ocd-division/country:ba/unit:fbih/entity:3,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=267
241,Amir Fazlić,"Fazlić, Amir",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/amir%20fazlic.jpg,SDA,SDA,amir.fazlic@parlament.ba,FBiH 5,ocd-division/country:ba/unit:fbih/entity:5,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=241
272,Saša Magazinović,"Magazinović, Saša",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/sasa%20magazinovic.jpg,SDP BiH,SDPBiH,sasa.magazinovic@parlament.ba,FBiH 3,ocd-division/country:ba/unit:fbih/entity:3,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=272
243,Salko Sokolović,"Sokolović, Salko",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/salko%20sokolovic.jpg,SDA,SDA,salko.sokolovic@parlament.ba,FBiH 2,ocd-division/country:ba/unit:fbih/entity:2,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=243
276,Zaim Backović,"Backović, Zaim",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/zaim%20backovic.jpg,BPS - Sefer Halilović,"",zaim.backovic@parlament.ba,FBiH 3,ocd-division/country:ba/unit:fbih/entity:3,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=276
258,Maja Gasal-Vražalica,"Gasal-Vražalica, Maja",https://www.parlament.ba/mandat_2014_2018/poslanici/pics/maja%20gasal%20vrazalica.jpg,Demokratska fronta - Željko Komšić,DF,maja.gasal-vrazalica@parlament.ba,FBiH 3,ocd-division/country:ba/unit:fbih/entity:3,7,https://www.parlament.ba/sadrzaj/poslanici/p/?id=258
