id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
1501,ADRIAN HRISTOV ASENOV,ADRIAN HRISTOV ASENOV,adrian.asenov@parliament.bg,,,ATAKA Party,ataka_party,12,МОНТАНА,National Assembly,42,,,http://www.parliament.bg/images/Assembly/1501.png,
1509,AHMED AHMEDOV BASHEV,AHMED AHMEDOV BASHEV,A.Bashev@parliament.bg,,,Movement for Rights and Freedoms,movement_for_rights_and_freedoms,1,БЛАГОЕВГРАД,National Assembly,42,,,http://www.parliament.bg/images/Assembly/1509.png,
1500,AKSENIYA BORISLAVOVA TILEVA,AKSENIYA BORISLAVOVA TILEVA,akseniya.tileva@parliament.bg,,,Political Party GERB,political_party_gerb,27,СТАРА ЗАГОРА,National Assembly,42,,,http://www.parliament.bg/images/Assembly/1500.png,
1732,ALEKSI VASILEV ALEKSIEV,ALEKSI VASILEV ALEKSIEV,aleksi.aleksiev@parliament.bg,,,Coalition for Bulgaria,coalition_for_bulgaria,3,ВАРНА,National Assembly,42,2013-07-31,,http://www.parliament.bg/images/Assembly/1732.png,
1499,ALEXANDAR DIMITROV PAUNOV,ALEXANDAR DIMITROV PAUNOV,ALEXANDAR.PAUNOV@parliament.bg,,,Coalition for Bulgaria,coalition_for_bulgaria,26,СОФИЯ ОБЛАСТ,National Assembly,42,,,http://www.parliament.bg/images/Assembly/1499.png,
1730,ALEXANDAR HRISTOV METODIEV,ALEXANDAR HRISTOV METODIEV,alexandar.metodiev@parliament.bg,,,Movement for Rights and Freedoms,movement_for_rights_and_freedoms,26,СОФИЯ ОБЛАСТ,National Assembly,42,2013-07-19,,http://www.parliament.bg/images/Assembly/1730.png,
1497,ALIOSMAN IBRAIM IMAMOV,ALIOSMAN IBRAIM IMAMOV,aliosman.imamov@parliament.bg,,,Movement for Rights and Freedoms,movement_for_rights_and_freedoms,1,БЛАГОЕВГРАД,National Assembly,42,,2013-11-12,http://www.parliament.bg/images/Assembly/1497.png,
1689,ANDON PETROV ANDONOV,ANDON PETROV ANDONOV,andon.andonov@parliament.bg,,,Political Party GERB,political_party_gerb,27,СТАРА ЗАГОРА,National Assembly,42,,,http://www.parliament.bg/images/Assembly/1689.png,
1514,ANELIYA DIMITROVA KLISAROVA,ANELIYA DIMITROVA KLISAROVA,,,,Coalition for Bulgaria,coalition_for_bulgaria,3,ВАРНА,National Assembly,42,,2013-05-29,http://www.parliament.bg/images/Assembly/1514.png,
1515,ANGEL PETROV NAYDENOV,ANGEL PETROV NAYDENOV,,,,Coalition for Bulgaria,coalition_for_bulgaria,14,ПЕРНИК,National Assembly,42,,2013-05-29,http://www.parliament.bg/images/Assembly/1515.png,
1513,ANTON KONSTANTINOV KUTEV,ANTON KONSTANTINOV KUTEV,anton.kutev@parliament.bg,,,Coalition for Bulgaria,coalition_for_bulgaria,20,СИЛИСТРА,National Assembly,42,,,http://www.parliament.bg/images/Assembly/1513.png,
1512,ANTONIY YORDANOV YORDANOV,ANTONIY YORDANOV YORDANOV,antoniy.yordanov@parliament.bg,,,Political Party GERB,political_party_gerb,16,ПЛОВДИВ ГРАД,National Assembly,42,,,http://www.parliament.bg/images/Assembly/1512.png,
