id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date
801, Joseph Lukong BANADZEM,josephbanadzem@assnat.cm,,SDF,sdf,NORTH-WEST,Assemblée Nationale,9,,
790,ABBA MALLA,mallabba@assnat.cm,,CPDM,cpdm,FAR-NORTH,Assemblée Nationale,9,,
793,ADAMA épse DJIBRINE,adama@assnat.cm,,CPDM,cpdm,ADAMAWA,Assemblée Nationale,9,,
796,ALI adjit,aliadjit@assnat.cm,,CPDM,cpdm,FAR-NORTH,Assemblée Nationale,9,,
800,AMINATOU,aminatou@assnat.cm,,CPDM,cpdm,ADAMAWA,Assemblée Nationale,9,,
799,Adji Amadou,adjiamadou@assnat.cm,,NUDP,nudp,FAR-NORTH,Assemblée Nationale,9,,
808,Ahmadou DAHIROU,ahmadou@assnat.com,,CPDM,cpdm,ADAMAWA,Assemblée Nationale,9,,
797,Ali BACHIR,alibachir@assnat.cm,,CPDM,cpdm,FAR-NORTH,Assemblée Nationale,9,,
798,Aliyoum Fadil,aliyoum@assnatcm,,CPDM,cpdm,NORTH,Assemblée Nationale,9,,
822,Barnabé ELOUNDOU,barnabeloundou@assnatcm,,CPDM,cpdm,CENTRE,Assemblée Nationale,9,,
855,Bernadette NDEUNGUE NYA ,bernadettendeungue@assnat.cm,,CPDM,cpdm,WEST,Assemblée Nationale,9,,
848,Bonaventure MVONDO ASSAM,bonaventuremvondo@assnat.cm,,CPDM,cpdm,SOUTH,Assemblée Nationale,9,,
823,Brigitte EMABOT ,brigittemabot@assnat.cm,,CPDM,cpdm,WEST,Assemblée Nationale,9,,
837,Caroline MBIYEBE,carolinembiyebe@assnat.cm,,SDF,sdf,NORTH-WEST,Assemblée Nationale,9,,
831,Catherine épse MFOULA MBALLA NGORO,catherinemfoula@assnat.cm,,CPDM,cpdm,CENTRE,Assemblée Nationale,9,,
795,Clarah ALEY EYABI,clarahaley@assnat.cm,,CPDM,cpdm,SOUTH-WEST,Assemblée Nationale,9,,
811,DIMBELE BOUI,dimbeleboui@assnat.cm,,CPDM,cpdm,EAST,Assemblée Nationale,9,,
813,DJIBRILLA KAOUA,djibrillakaoua@assnat.cm,,CPDM,cpdm,ADAMAWA,Assemblée Nationale,9,,
814,DOPE Honorine épse ASSOGNLEBOT,honorinedope@assnat.cm,,CPDM,cpdm,CENTRE,Assemblée Nationale,9,,
815,DOUGOUF DJONKIO Ali,alidjonkio@assnat.cm,,CPDM,cpdm,FAR-NORTH,Assemblée Nationale,9,,
816,DOUVAOUISSA AISSA HAMADI,aissahamadi@assnat.cm,,NUDP,nudp,FAR-NORTH,Assemblée Nationale,9,,
817,DZITE épse NGASSAM Thérèse,Ngassamtherese@assnat.cm,,CPDM,cpdm,WEST,Assemblée Nationale,9,,
913,Daniel ETONGO NGALLE,danieletongo@assnat.cm,,CPDM,cpdm,EAST,Assemblée Nationale,9,,
818,EDENA ENIH MBAH,edenaenih@assnat.cm,,SDF,sdf,NORTH-WEST,Assemblée Nationale,9,,
825,ENOW ETOUNDI,enowetoundi@assnat.cm,,CPDM,cpdm,NORTH-WEST,Assemblée Nationale,9,,
821,Elise NDONGO MOUTOME épse POKOSSY NDOUMBE,elisendongo@assnat.cm,,CPDM,cpdm,LITTORAL,Assemblée Nationale,9,,
803,Emmanual BANMI DINGHA,emmanuelbanmi@assnat.cm,,CPDM,cpdm,NORTH-WEST,Assemblée Nationale,9,,
836,Emmanuel Mbiam,emmanuelmbiam@assnat.cm,,CPDM,cpdm,SOUTH,Assemblée Nationale,9,,
827,Goni MARIAM,gonimariam@assnat.cm,,CPDM,cpdm,NORTH,Assemblée Nationale,9,,
840,Helène MEKONGO épse ATANGANA,helenemekongo@assnat.cm,,CPDM,cpdm,CENTRE,Assemblée Nationale,9,,
857,Hills Larry NDONG,hillslarry@assnat.cm,,SDF,sdf,NORTH-WEST,Assemblée Nationale,9,,
806,Jean BOUBA,jeanbouba@assnat.cm,,CPDM,cpdm,FAR-NORTH,Assemblée Nationale,9,,
921,Jean michel NINTCHEU,jeanmichelnintcheu@asstnat.cm,,SDF,sdf,LITTORAL,Assemblée Nationale,9,,
846,Jean-Claude MPACKO KOTTO,jeanclaudempacko@assnat.cm,,CPDM,cpdm,LITTORAL,Assemblée Nationale,9,,
820,Joachim EKANGA ABATA ,joachimekanga@assnat.cm,,CPDM,cpdm,CENTRE,Assemblée Nationale,9,,
807,Joseph BOULOU GUIZI ,josephboulou@assnat.cm,,CPDM,cpdm,FAR-NORTH,Assemblée Nationale,9,,
838,Joseph MBOUI,josephmboui@assnat.cm,,CPDM,cpdm,LITTORAL,Assemblée Nationale,9,,
804,LIPOT BAPOOH,lipotbapooh@assnat.cm,,UPC,upc,CENTRE,Assemblée Nationale,9,,
834,Luc Roger MBARGA ASSEMBE,lucrogermbarga@assnat.cm,,CPDM,cpdm,CENTRE,Assemblée Nationale,9,,
826,Léornad MAOUNDE ,leornardmaounde@assnat.cm,,CPDM,cpdm,ADAMAWA,Assemblée Nationale,9,,
830,MATSANG SEYI MAMA,matsangseyi@assnat.cm,,CPDM,cpdm,CENTRE,Assemblée Nationale,9,,
832,MBANYA BOLEVIE PETGNA,mbanyabolevie@assnat.cm,,SDF,sdf,SOUTH-WEST,Assemblée Nationale,9,,
839,MBOUOMBOUO MAMA,mbouombouo@assnat.cm,,CDU,cdu,WEST,Assemblée Nationale,9,,
842,MFOUAPON ALASSA,mfouaponalassa@assnat.cm,,CDU,cdu,WEST,Assemblée Nationale,9,,
845,MOUTYMBO épse AYAYI Rosette Julienne,rosettemoutymbo@assnat.cm,,CPDM,cpdm,LITTORAL,Assemblée Nationale,9,,
792,Marguerite Alime ABOMO FAMA,abomofama@assnat.cm,,CPDM,cpdm,CENTRE,Assemblée Nationale,9,,
812,Marguerite hélène DISSAKE née AKOKA ,margueritehelene@assnat.cm ,,CPDM,cpdm,LITTORAL,Assemblée Nationale,9,,
851,Marie Suzanne ONOBIONO N'NOLO,mariesuzanneonobiono@assnat.cm,,CPDM,cpdm,CENTRE,Assemblée Nationale,9,,
828,Marlyse Rose DOUALA BELL née DIMODI TONGO,marlyserose@assnat.cm,,CPDM,cpdm,LITTORAL,Assemblée Nationale,9,,
