id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
adam-vaughan,Adam Vaughan,Adam Vaughan,Adam.Vaughan@parl.gc.ca,,,Liberal,liberal,area/ontario_(spadina—fort_york),Ontario (Spadina—Fort York),House of Commons,42,,,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/VaughanAdam_Lib.jpg,male
ahmed-hussen,Ahmed Hussen,Ahmed Hussen,,,,Liberal,liberal,area/ontario_(york_south—weston),Ontario (York South—Weston),House of Commons,42,,,,male
alain-rayes,Alain Rayes,Alain Rayes,,,,Conservative,conservative,area/quebec_(richmond—arthabaska),Quebec (Richmond—Arthabaska),House of Commons,42,,,,
alaina-lockhart,Alaina Lockhart,Alaina Lockhart,,,,Liberal,liberal,area/new_brunswick_(fundy_royal),New Brunswick (Fundy Royal),House of Commons,42,,,,
alex-nuttall,Alex Nuttall,Alex Nuttall,,,,Conservative,conservative,area/ontario_(barrie—springwater—oro-medonte),Ontario (Barrie—Springwater—Oro-Medonte),House of Commons,42,,,,
alexandra-mendès,Alexandra Mendès,Alexandra Mendès,,,,Liberal,liberal,area/quebec_(brossard—saint-lambert),Quebec (Brossard—Saint-Lambert),House of Commons,42,,,https://upload.wikimedia.org/wikipedia/commons/c/cf/Alexandra_Mendes_2011.jpg,female
alexandre-boulerice,Alexandre Boulerice,Alexandre Boulerice,Alexandre.Boulerice@parl.gc.ca,alexboulerice,,NDP,ndp,area/quebec_(rosemont—la_petite-patrie),Quebec (Rosemont—La Petite-Patrie),House of Commons,42,,,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BoulericeAlexandre_NPD.jpg,male
ali-ehsassi,Ali Ehsassi,Ali Ehsassi,,,,Liberal,liberal,area/ontario_(willowdale),Ontario (Willowdale),House of Commons,42,,,,male
alice-wong,Alice Wong,Alice Wong,alice.wong@parl.gc.ca,,,Conservative,conservative,area/british_columbia_(richmond_centre),British Columbia (Richmond Centre),House of Commons,42,,,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/WongAlice_CPC.jpg,female
alistair-macgregor,Alistair MacGregor,Alistair MacGregor,,,,NDP,ndp,area/british_columbia_(cowichan—malahat—langford),British Columbia (Cowichan—Malahat—Langford),House of Commons,42,,,,
alupa-clarke,Alupa Clarke,Alupa Clarke,,,,Conservative,conservative,area/quebec_(beauport—limoilou),Quebec (Beauport—Limoilou),House of Commons,42,,,,male
amarjeet-sohi,Amarjeet Sohi,Amarjeet Sohi,,,,Liberal,liberal,area/alberta_(edmonton_mill_woods),Alberta (Edmonton Mill Woods),House of Commons,42,,,,male
andrew-leslie,Andrew Leslie,Andrew Leslie,,,,Liberal,liberal,area/ontario_(orléans),Ontario (Orléans),House of Commons,42,,,,male
andrew-scheer,Andrew Scheer,Andrew Scheer,andrew.scheer@parl.gc.ca,,,Conservative,conservative,area/saskatchewan_(regina—qu'appelle),Saskatchewan (Regina—Qu'Appelle),House of Commons,42,,,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ScheerAndrew_CPC.jpg,male
andy-fillmore,Andy Fillmore,Andy Fillmore,,,,Liberal,liberal,area/nova_scotia_(halifax),Nova Scotia (Halifax),House of Commons,42,,,,male
angelo-iacono,Angelo Iacono,Angelo Iacono,,,,Liberal,liberal,area/quebec_(alfred-pellan),Quebec (Alfred-Pellan),House of Commons,42,,,,
anita-vandenbeld,Anita Vandenbeld,Anita Vandenbeld,,,,Liberal,liberal,area/ontario_(ottawa_west—nepean),Ontario (Ottawa West—Nepean),House of Commons,42,,,,
anju-dhillon,Anju Dhillon,Anju Dhillon,,,,Liberal,liberal,area/quebec_(dorval—lachine—lasalle),Quebec (Dorval—Lachine—LaSalle),House of Commons,42,,,,
anne-minh-thu-quach,Anne Minh-Thu Quach,Anne Minh-Thu Quach,AnneMinh-Thu.Quach@parl.gc.ca,,,NDP,ndp,area/quebec_(salaberry—suroît),Quebec (Salaberry—Suroît),House of Commons,42,,,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/QuachAnneMinhThu_NDP.jpg,female
anthony-housefather,Anthony Housefather,Anthony Housefather,,AHousefather,,Liberal,liberal,area/quebec_(mount_royal),Quebec (Mount Royal),House of Commons,42,,,,male
anthony-rota,Anthony Rota,Anthony Rota,,,,Liberal,liberal,area/ontario_(nipissing—timiskaming),Ontario (Nipissing—Timiskaming),House of Commons,42,,,https://upload.wikimedia.org/wikipedia/commons/0/06/Anthony_Rota.jpg,male
arif-virani,Arif Virani,Arif Virani,,,,Liberal,liberal,area/ontario_(parkdale—high_park),Ontario (Parkdale—High Park),House of Commons,42,,,,
arnold-chan,Arnold Chan,Arnold Chan,Arnold.Chan@parl.gc.ca,ArnoldChanLib,,Liberal,liberal,area/ontario_(scarborough—agincourt),Ontario (Scarborough—Agincourt),House of Commons,42,,,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ChanArnold_Lib.jpg,male
arnold-viersen,Arnold Viersen,Arnold Viersen,,,,Conservative,conservative,area/alberta_(peace_river—westlock),Alberta (Peace River—Westlock),House of Commons,42,,,,
bardish-chagger,Bardish Chagger,Bardish Chagger,,,,Liberal,liberal,area/ontario_(waterloo),Ontario (Waterloo),House of Commons,42,,,,
ben-lobb,Ben Lobb,Ben Lobb,ben.lobb@parl.gc.ca,voteBenLobb,,Conservative,conservative,area/ontario_(huron—bruce),Ontario (Huron—Bruce),House of Commons,42,,,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/LobbBen_CPC.jpg,male
bernadette-jordan,Bernadette Jordan,Bernadette Jordan,,,,Liberal,liberal,area/nova_scotia_(south_shore—st._margaret's),Nova Scotia (South Shore—St. Margaret's),House of Commons,42,,,,
bernard-généreux,Bernard Généreux,Bernard Généreux,,,,Conservative,conservative,area/quebec_(montmagny—l'islet—kamouraska—rivière-du-loup),Quebec (Montmagny—L'Islet—Kamouraska—Rivière-du-Loup),House of Commons,42,,,https://upload.wikimedia.org/wikipedia/commons/5/59/Bernard_Généreux.JPG,male
bev-shipley,Bev Shipley,Bev Shipley,bev.shipley@parl.gc.ca,,,Conservative,conservative,area/ontario_(lambton—kent—middlesex),Ontario (Lambton—Kent—Middlesex),House of Commons,42,,,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ShipleyBev_CPC.jpg,male
bill-blair,Bill Blair,Bill Blair,,,,Liberal,liberal,area/ontario_(scarborough_southwest),Ontario (Scarborough Southwest),House of Commons,42,,,https://upload.wikimedia.org/wikipedia/commons/d/d4/Bill_Blair.JPG,male
bill-casey,Bill Casey,Bill Casey,,,,Liberal,liberal,area/nova_scotia_(cumberland—colchester),Nova Scotia (Cumberland—Colchester),House of Commons,42,,,,male
bill-morneau,Bill Morneau,Bill Morneau,,,,Liberal,liberal,area/ontario_(toronto_centre),Ontario (Toronto Centre),House of Commons,42,,,,male
blaine-calkins,Blaine Calkins,Blaine Calkins,blaine.calkins@parl.gc.ca,,,Conservative,conservative,area/alberta_(red_deer—lacombe),Alberta (Red Deer—Lacombe),House of Commons,42,,,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/CalkinsBlaine_CPC.jpg,male
blake-richards,Blake Richards,Blake Richards,blake.richards@parl.gc.ca,BlakeRichardsMP,,Conservative,conservative,area/alberta_(banff—airdrie),Alberta (Banff—Airdrie),House of Commons,42,,,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/RichardsBlake_CPC.jpg,male
bob-bratina,Bob Bratina,Bob Bratina,,,,Liberal,liberal,area/ontario_(hamilton_east—stoney_creek),Ontario (Hamilton East—Stoney Creek),House of Commons,42,,,,male
bob-nault,Bob Nault,Bob Nault,,,,Liberal,liberal,area/ontario_(kenora),Ontario (Kenora),House of Commons,42,,,,male
bob-saroya,Bob Saroya,Bob Saroya,,,,Conservative,conservative,area/ontario_(markham—unionville),Ontario (Markham—Unionville),House of Commons,42,,,,
bob-zimmer,Bob Zimmer,Bob Zimmer,Bob.Zimmer@parl.gc.ca,bobzimmermp,,Conservative,conservative,area/british_columbia_(prince_george—peace_river—northern_rockies),British Columbia (Prince George—Peace River—Northern Rockies),House of Commons,42,,,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ZimmerBob_CPC.jpg,male
bobby-morrissey,Bobby Morrissey,Bobby Morrissey,,,,Liberal,liberal,area/prince_edward_island_(egmont),Prince Edward Island (Egmont),House of Commons,42,,,https://upload.wikimedia.org/wikipedia/commons/0/05/Bobby_002.jpg,male
borys-wrzesnewskyj,Borys Wrzesnewskyj,Borys Wrzesnewskyj,,,,Liberal,liberal,area/ontario_(etobicoke_centre),Ontario (Etobicoke Centre),House of Commons,42,,,https://upload.wikimedia.org/wikipedia/commons/1/19/Borys_Wrzesnewskyj.jpg,male
brad-trost,Brad Trost,Brad Trost,brad.trost@parl.gc.ca,,,Conservative,conservative,area/saskatchewan_(saskatoon—university),Saskatchewan (Saskatoon—University),House of Commons,42,,,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/TrostBradley_CPC.jpg,
brenda-shanahan,Brenda Shanahan,Brenda Shanahan,,,,Liberal,liberal,area/quebec_(châteauguay—lacolle),Quebec (Châteauguay—Lacolle),House of Commons,42,,,,
brian-masse,Brian Masse,Brian Masse,brian.masse@parl.gc.ca,,,NDP,ndp,area/ontario_(windsor_west),Ontario (Windsor West),House of Commons,42,,,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/MasseBrian_NDP.jpg,male
brigitte-sansoucy,Brigitte Sansoucy,Brigitte Sansoucy,,,,NDP,ndp,area/quebec_(saint-hyacinthe—bagot),Quebec (Saint-Hyacinthe—Bagot),House of Commons,42,,,,
bruce-stanton,Bruce Stanton,Bruce Stanton,bruce.stanton@parl.gc.ca,,,Conservative,conservative,area/ontario_(simcoe_north),Ontario (Simcoe North),House of Commons,42,,,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/StantonRonaldBruce_CPC.jpg,male
bryan-may,Bryan May,Bryan May,,,,Liberal,liberal,area/ontario_(cambridge),Ontario (Cambridge),House of Commons,42,,,,
candice-bergen,Candice Bergen,Candice Bergen,candice.bergen@parl.gc.ca,,,Conservative,conservative,area/manitoba_(portage—lisgar),Manitoba (Portage—Lisgar),House of Commons,42,,,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/HoeppnerCandice_CPC.jpg,female
carla-qualtrough,Carla Qualtrough,Carla Qualtrough,,,,Liberal,liberal,area/british_columbia_(delta),British Columbia (Delta),House of Commons,42,,,,
carol-hughes,Carol Hughes,Carol Hughes,carol.hughes@parl.gc.ca,,,NDP,ndp,area/ontario_(algoma—manitoulin—kapuskasing),Ontario (Algoma—Manitoulin—Kapuskasing),House of Commons,42,,,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/HughesCarol_NDP.jpg,female
