id,name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
189,Anneli Jäätteenmäki,,,,Keskusta,kesk,area/helsingin,Helsingin,Eduskunta,30,,,http://kansanmuisti.fi/media/images/members/jaatteenmaki-anneli.jpg,female
179,Antero Kekkonen,,,,Sosialidemokraatit,sd,area/kymen,Kymen,Eduskunta,30,,,http://kansanmuisti.fi/media/images/members/kekkonen-antero.jpg,male
166,Antti Kalliomäki,,,,Sosialidemokraatit,sd,area/uudenmaan,Uudenmaan,Eduskunta,30,,,http://kansanmuisti.fi/media/images/members/kalliomaki-antti.jpg,male
111,Arja Alho,,,,Sosialidemokraatit,sd,area/uudenmaan,Uudenmaan,Eduskunta,30,,,http://kansanmuisti.fi/media/images/members/alho-arja.jpg,female
301,Ben Zyskowicz,ben.zyskowicz@eduskunta.fi,,,Kokoomus,kok,area/helsingin,Helsingin,Eduskunta,30,,,http://kansanmuisti.fi/media/images/members/zyskowicz-ben.jpg,male
121,Claes Andersson,,,,Vasemmistoliitto,vas,area/uudenmaan,Uudenmaan,Eduskunta,30,,,http://kansanmuisti.fi/media/images/members/andersson-claes.jpg,male
240,Erkki Pulliainen,,,,Vihreä liitto,vihr,area/oulun,Oulun,Eduskunta,30,,,http://kansanmuisti.fi/media/images/members/pulliainen-erkki.jpg,male
104,Esko Aho,,,,Keskusta,kesk,area/helsingin,Helsingin,Eduskunta,30,,,http://kansanmuisti.fi/media/images/members/aho-esko.jpg,male
125,Esko Helle,,,,Vasemmistoliitto,vas,area/hämeen,Hämeen,Eduskunta,30,,,http://kansanmuisti.fi/media/images/members/helle-esko.jpg,male
278,Esko-Juhani Tennilä,,,,Demokraattinen vaihtoehto,Demokraattinen vaihtoehto,area/lapin,Lapin,Eduskunta,30,,1990-09-10,http://kansanmuisti.fi/media/images/members/tennila-esko-juhani.jpg,male
278,Esko-Juhani Tennilä,,,,Vasemmistoliitto,vas,area/lapin,Lapin,Eduskunta,30,1990-09-11,,http://kansanmuisti.fi/media/images/members/tennila-esko-juhani.jpg,male
148,Gunnar Jansson,,,,RKP,r,area/ahvenanmaan_maakunnan,Ahvenanmaan maakunnan,Eduskunta,30,,,http://kansanmuisti.fi/media/images/members/jansson-gunnar.jpg,male
204,Heikki A. Ollila,,,,Kokoomus,kok,area/pirkanmaan,Pirkanmaan,Eduskunta,30,,,http://kansanmuisti.fi/media/images/members/ollila-heikki-a.jpg,male
165,Henrik Lax,,,,RKP,r,area/uudenmaan,Uudenmaan,Eduskunta,30,,,http://kansanmuisti.fi/media/images/members/lax-henrik.jpg,male
224,Håkan Nordman,,,,RKP,r,area/vaasan,Vaasan,Eduskunta,30,,,http://kansanmuisti.fi/media/images/members/nordman-hakan.jpg,male
170,Ilkka Kanerva,ilkka.kanerva@eduskunta.fi,,,Kokoomus,kok,area/varsinais-suomen,Varsinais-Suomen,Eduskunta,30,,,http://kansanmuisti.fi/media/images/members/kanerva-ilkka.jpg,male
137,Jorma Huuhtanen,,,,Keskusta,kesk,area/kuopion,Kuopion,Eduskunta,30,,,http://kansanmuisti.fi/media/images/members/huuhtanen-jorma.jpg,male
267,Jouko Skinnari,jouko.skinnari@eduskunta.fi,,,Sosialidemokraatit,sd,area/hämeen,Hämeen,Eduskunta,30,,,http://kansanmuisti.fi/media/images/members/skinnari-jouko.jpg,male
133,Jouni Backman,jouni.backman@eduskunta.fi,,,Sosialidemokraatit,sd,area/etelä-savon,Etelä-Savon,Eduskunta,30,,,http://kansanmuisti.fi/media/images/members/backman-jouni.jpg,male
