id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
82,AH-SCHA Joseph,AH-SCHA Joseph,jb.ah-scha@assemblee.pf,,,Tapura huiraatira,tapura_huiraatira,area/section_des_îles_marquises,Section des îles Marquises,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/AH-SCHA-Joseph.jpg,m
83,AMARU Patricia,AMARU Patricia,patricia.amaru@assemblee.pf,,,Tahoera'a huiraatira,tahoera'a_huiraatira,area/section_des_îles-sous-le-vent,Section des îles-sous-le-Vent,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/AMARU-Patricia.jpg,f
84,ARO Dylma,ARO Dylma,dylma.aro@assemblee.pf,,,Tapura huiraatira,tapura_huiraatira,area/section_3_des_îles_du_vent,Section 3 des îles du vent,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/ARO-Dylma.jpg,f
74,BOUTEAU Nicole,BOUTEAU Nicole,nicole.bouteau@assemblee.pf,,,A tia porinetia,a_tia_porinetia,area/section_1_des_îles_du_vent,Section 1 des îles du vent,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/BOUTEAU-Nicole.jpg,f
86,BRUANT Virginie,BRUANT Virginie,virginie.bruant@assemblee.pf,,,Tapura huiraatira,tapura_huiraatira,area/section_1_des_îles_du_vent,Section 1 des îles du vent,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/BRUANT-Virginie.jpg,f
87,BUILLARD Michel,BUILLARD Michel,michel.buillard@assemblee.pf,,,Tapura huiraatira,tapura_huiraatira,area/section_1_des_îles_du_vent,Section 1 des îles du vent,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/BUILLARD-Michel.jpg,m
61,CROSS Valentina,CROSS Valentina,valentina.cross@assemblee.pf,,,Union Pour La Démocratie,union_pour_la_démocratie,area/section_2_des_îles_du_vent,Section 2 des îles du vent,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/CROSS-Valentina.jpg,f
62,DROLLET Jacqui,DROLLET Jacqui,jacqui.drollet@assemblee.pf,,,Union Pour La Démocratie,union_pour_la_démocratie,area/section_2_des_îles_du_vent,Section 2 des îles du vent,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/DROLLET-Jacqui.jpg,m
88,FAATAU Félix,FAATAU Félix,felix.faatau@assemblee.pf,,,Tapura huiraatira,tapura_huiraatira,area/section_des_îles-sous-le-vent,Section des îles-sous-le-Vent,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/FAATAU-Felix.jpg,m
89,FLOHR Henri,FLOHR Henri,henri.flohr@assemblee.pf,,,Tapura huiraatira,tapura_huiraatira,area/section_2_des_îles_du_vent,Section 2 des îles du vent,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/FLOHR-Henri.jpg,m
65,FLORES-TAHIATA Chantal,FLORES-TAHIATA Chantal,chantal.tahiata@assemblee.pf,,,Union Pour La Démocratie,union_pour_la_démocratie,area/section_des_îles_australes,Section des îles Australes,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/FLORES-TAHIATA-Chantal.jpg,f
90,FONG LOI Charles,FONG LOI Charles,charles.fongloi@assemblee.pf,,,Tahoera'a huiraatira,tahoera'a_huiraatira,area/section_1_des_îles_du_vent,Section 1 des îles du vent,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/FONG-LOI-Charles.jpg,m
66,FREBAULT Joëlle,FREBAULT Joëlle,joelle.frebault@assemblee.pf,,,Union Pour La Démocratie,union_pour_la_démocratie,area/section_des_îles_marquises,Section des îles Marquises,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/FREBAULT-Joelle.jpg,f
67,GALENON Minarii,GALENON Minarii,chantal.galenon@assemblee.pf,,,Union Pour La Démocratie,union_pour_la_démocratie,area/section_1_des_îles_du_vent,Section 1 des îles du vent,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/GALENON-Minarii.jpg,f
92,GRAFFE Jacquie,GRAFFE Jacquie,jacquie.graffe@assemblee.pf,,,Tapura huiraatira,tapura_huiraatira,area/section_2_des_îles_du_vent,Section 2 des îles du vent,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/GRAFFE-jacquie.jpg,m
68,GÉROS Antony,GÉROS Antony,antony.geros@assemblee.pf,,,Union Pour La Démocratie,union_pour_la_démocratie,area/section_2_des_îles_du_vent,Section 2 des îles du vent,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/GEROS-Antony.jpg,m
133,HAUMANI Evans,HAUMANI Evans,evans.haumani@assemblee.pf,,,Tahoera'a huiraatira,tahoera'a_huiraatira,area/section_1_des_îles_du_vent,Section 1 des îles du vent,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/HAUMANI-Evans.jpg,m
94,IRITI Teura,IRITI Teura,teura.iriti@assemblee.pf,,,Tahoera'a huiraatira,tahoera'a_huiraatira,area/section_1_des_îles_du_vent,Section 1 des îles du vent,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/IRITI-Teura.jpg,f
95,JORDAN Rudolph,JORDAN Rudolph,rudolph.jordan@assemblee.pf,,,Tahoera'a huiraatira,tahoera'a_huiraatira,area/section_des_îles-sous-le-vent,Section des îles-sous-le-Vent,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/JORDAN-Rudolph.jpg,m
131,LEBOUCHER Michel,LEBOUCHER Michel,michel.leboucher@assemblee.pf,,,Tahoera'a huiraatira,tahoera'a_huiraatira,area/section_3_des_îles_du_vent,Section 3 des îles du vent,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/LEBOUCHER-michel.jpg,m
96,LUCAS Béatrice,LUCAS Béatrice,beatrix.lucas@assemblee.pf,,,Tapura huiraatira,tapura_huiraatira,area/section_2_des_îles_du_vent,Section 2 des îles du vent,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/LUCAS-Beatrix.jpg,f
69,MAAMAATUAIAHUTAPU Victor,MAAMAATUAIAHUTAPU Victor,victor.m@assemblee.pf,,,Union Pour La Démocratie,union_pour_la_démocratie,area/section_des_îles_tuamotu_de_l'ouest,Section des îles Tuamotu de l'ouest,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/MAAMAATUAIAHUTAPU-Victor.jpg,m
97,MANUTAHI LEVY-AGAMI Sandra,MANUTAHI LEVY-AGAMI Sandra,sandra.levy-agami@assemblee.pf,,,Tahoera'a huiraatira,tahoera'a_huiraatira,area/section_2_des_îles_du_vent,Section 2 des îles du vent,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/MANUTAHI-LEVY-AGAMI-Sandra.jpg,f
75,MARAEA Emma,MARAEA Emma,emma.maraea@assemblee.pf,,,A tia porinetia,a_tia_porinetia,area/section_des_îles-sous-le-vent,Section des îles-sous-le-Vent,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/MARAEA-Emma.jpg,f
98,MATEHAU-NUUPURE Juliette,MATEHAU-NUUPURE Juliette,juliette.nuupure@assemblee.pf,,,Tahoera'a huiraatira,tahoera'a_huiraatira,area/section_2_des_îles_du_vent,Section 2 des îles du vent,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/MATEHAU-NUUPURE-juliette.jpg,f
76,MERCERON Armelle,MERCERON Armelle,armelle.merceron@assemblee.pf,,,A tia porinetia,a_tia_porinetia,area/section_2_des_îles_du_vent,Section 2 des îles du vent,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/MERCERON-Armelle.jpg,f
126,MOUTAME Thomas,MOUTAME Thomas,thomas.moutame@assemblee.pf,,,Tahoera'a huiraatira,tahoera'a_huiraatira,area/section_des_îles-sous-le-vent,Section des îles-sous-le-Vent,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/MOUTAME-Thomas.jpg,m
77,PEREZ Antonio,PEREZ Antonio,antonio.perez@assemblee.pf,,,A tia porinetia,a_tia_porinetia,area/section_2_des_îles_du_vent,Section 2 des îles du vent,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/PEREZ-Antonio.jpg,m
99,PERRY-FRIEDMAN Vaiata,PERRY-FRIEDMAN Vaiata,vaiata.friedman@assemblee.pf,,,Tahoera'a huiraatira,tahoera'a_huiraatira,area/section_1_des_îles_du_vent,Section 1 des îles du vent,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/PERRY-FRIEDMAN-Vaiata.jpg,f
100,PUHETINI Sylvana,PUHETINI Sylvana,sylvana.puhetini@assemblee.pf,,,Tapura huiraatira,tapura_huiraatira,area/section_1_des_îles_du_vent,Section 1 des îles du vent,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/PUHETINI-Sylvana.jpg,f
101,RAIOHA Jacques,RAIOHA Jacques,jacques.raioha@assemblee.pf,,,Tahoera'a huiraatira,tahoera'a_huiraatira,area/section_des_gambier_et_des_îles_tuamotu_de_l'est,Section des Gambier et des îles Tuamotu de l'est,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/RAIOHA-Jacques.jpg,m
102,RICHETON Monique,RICHETON Monique,monique.richeton@assemblee.pf,,,Tahoera'a huiraatira,tahoera'a_huiraatira,area/section_des_gambier_et_des_îles_tuamotu_de_l'est,Section des Gambier et des îles Tuamotu de l'est,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/RICHETON-Monique.jpg,f
104,SACHET Isabelle,SACHET Isabelle,isabelle.sachet@assemblee.pf,,,Tahoera'a huiraatira,tahoera'a_huiraatira,area/section_3_des_îles_du_vent,Section 3 des îles du vent,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/SACHET-Isabelle.jpg,f
105,SAGE Maina,SAGE Maina,maina.sage@assemblee.pf,,,Tapura huiraatira,tapura_huiraatira,area/section_3_des_îles_du_vent,Section 3 des îles du vent,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/SAGE-Maina.jpg,f
106,SALMON-AMARU Loïs,SALMON-AMARU Loïs,lois.amaru@assemblee.pf,,,Tahoera'a huiraatira,tahoera'a_huiraatira,area/section_2_des_îles_du_vent,Section 2 des îles du vent,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/AMARU-Lois.jpg,f
79,SCHYLE Philip,SCHYLE Philip,philip.schyle@assemblee.pf,,,A tia porinetia,a_tia_porinetia,area/section_1_des_îles_du_vent,Section 1 des îles du vent,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/SCHYLE-Philip.jpg,m
108,TAAE Puta'i,TAAE Puta'i,putai.taae@assemblee.pf,,,Tapura huiraatira,tapura_huiraatira,area/section_2_des_îles_du_vent,Section 2 des îles du vent,Assembly,2013,,,http://www.assemblee.pf/_bdd/photos_elus/300x400/TAAE-putai.jpg,m
