id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date
Garoeb-Justus,//Garoeb Justus,j.garoeb@parliament.na,,UDF,UDF,"",National Assembly,1,,
Garoeb-Moses,//Garoeb Moses,,,SWAPO,SWAPO,"",National Assembly,1,,
Gaseb-Johannes,/Gaseb Johannes,,,DTA,DTA,"",National Assembly,1,,
Africa-Ben,Africa Ben,,,DTA,DTA,"",National Assembly,1,,
Amadhila-Matti,Amadhila Matti,,,SWAPO,SWAPO,"",National Assembly,1,,
Amathila-Appolus-Libertine,Amathila  Appolus Libertine,,,SWAPO,SWAPO,"",National Assembly,1,,
Amathila-Ben,Amathila Ben,,,SWAPO,SWAPO,"",National Assembly,1,,
Angula-Helmut-Kangulohi,Angula Helmut  Kangulohi,,,SWAPO,SWAPO,"",National Assembly,1,,
Angula-Nahas,Angula Nahas,,,SWAPO,SWAPO,"",National Assembly,1,,
Ausiku-Helmut,Ausiku Helmut,,,SWAPO,SWAPO,"",National Assembly,1,,
Barnes-Barney-Leonard,"Barnes ""Barney"" Leonard",,,DTA,DTA,"",National Assembly,1,,
Barnes-Margreth,Barnes Margreth,,,DTA,DTA,"",National Assembly,1,,
Bessinger-Niko,Bessinger Niko,,,SWAPO,SWAPO,"",National Assembly,1,,
Biwa-Eric,Biwa Eric,,,UDF,UDF,"",National Assembly,1,,
Biwa-Willem,Biwa Willem,,,SWAPO,SWAPO,"",National Assembly,1,,
Botha-P-Daniel,Botha P. Daniel,,,SWAPO,SWAPO,"",National Assembly,1,,
Dan-Gabriel,Dan Gabriel,,,DTA,DTA,"",National Assembly,1,,
De-Wet-Jan,De Wet Jan,,,ACN,ACN,"",National Assembly,1,,
Diergaardt-Reggie,Diergaardt Reggie,,,UDF,UDF,"",National Assembly,1,,
Dierks-Klaus,Dierks Klaus,,,SWAPO,SWAPO,"",National Assembly,1,,
Ekandjo-Jerry,Ekandjo Jerry,,,SWAPO,SWAPO,"",National Assembly,1,,
Geingob-Hage,Geingob Hage,,,SWAPO,SWAPO,"",National Assembly,1,,
Gende-Allois,Gende Allois,,,DTA,DTA,"",National Assembly,1,,
Gurirab-Theo-Ben,Gurirab Theo Ben,,,SWAPO,SWAPO,"",National Assembly,1,,
Hamutenya-Hidipo,Hamutenya Hidipo,,,SWAPO,SWAPO,"",National Assembly,1,,
Hanekom-J-Gerhardus,Hanekom J. Gerhardus,,,Appointed By President,Appointed By President,"",National Assembly,1,,
Haraseb-Johannes,Haraseb Johannes,,,DTA,DTA,"",National Assembly,1,,
Hausiku-Marco,Hausiku Marco,,,SWAPO,SWAPO,"",National Assembly,1,,
Herrigel-Otto,Herrigel Otto,,,Appointed By President,Appointed By President,"",National Assembly,1,,
Hishongwa-Hadino,Hishongwa Hadino,,,SWAPO,SWAPO,"",National Assembly,1,,
Hubschle-Michaela,Hubschle Michaela,,,SWAPO,SWAPO,"",National Assembly,1,,
Iivula-Ithana-Pendukeni,Iivula-Ithana Pendukeni,nancymuinjo@mha.gov.na,,SWAPO,SWAPO,"",National Assembly,1,,
Indongo-I,Indongo I.,,,SWAPO,SWAPO,"",National Assembly,1,,
Ithete-Nangolo,Ithete Nangolo,,,Appointed By President,Appointed By President,"",National Assembly,1,,
Iyambo-Nickey,Iyambo Nickey,,,SWAPO,SWAPO,"",National Assembly,1,,
Jagger-Jeremia,Jagger Jeremia,,,DTA,DTA,"",National Assembly,1,,
Junius-M-Petrus,Junius M. Petrus,,,DTA,DTA,"",National Assembly,1,,
Kabajani-Richard-Kapelwa,Kabajani Richard Kapelwa,,,SWAPO,SWAPO,"",National Assembly,1,,
Kamburona-A-Rudolf,Kamburona A.  Rudolf,,,DTA,DTA,"",National Assembly,1,,
Kameeta-Zephania,Kameeta Zephania,,,SWAPO,SWAPO,"",National Assembly,1,,
Kashe-Geelboy,Kashe Geelboy,,,DTA,DTA,"",National Assembly,1,,
Katjiuongua-Moses,Katjiuongua Moses,,,DCN,DCN,"",National Assembly,1,,
Kaura-Katuutire,Kaura Katuutire,k.kaura@parliament.na,,DTA,DTA,"",National Assembly,1,,
Kayser-Peter,Kayser Peter,,,ACN,ACN,"",National Assembly,1,,
Kerina-Mburumba,Kerina Mburumba,,,FCN,FCN,"",National Assembly,1,,
Konjore-Willem,Konjore Willem,,,SWAPO,SWAPO,"",National Assembly,1,,
Kozonguizi-Fanuel,Kozonguizi Fanuel,,,DTA,DTA,"",National Assembly,1,,
Luipert-Daniel,Luipert Daniel,,,DTA,DTA,"",National Assembly,1,,
Majavero-A,Majavero A.,,,DTA,DTA,"",National Assembly,1,,
Malima-N-Philemon,Malima N. Philemon,,,Appointed By President,Appointed By President,"",National Assembly,1,,
Matjila-Andrew,Matjila Andrew,,,DTA,DTA,"",National Assembly,1,,
Maxuilili-G-I-Nathaniel,Maxuilili G.I. Nathaniel,,,SWAPO,SWAPO,"",National Assembly,1,,
Mbuende-Munionganda-Kaire,Mbuende Munionganda Kaire,,,SWAPO,SWAPO,"",National Assembly,1,,
Mbumba-Nangolo,Mbumba Nangolo,n.mbumba@parliament.na,,SWAPO,SWAPO,"",National Assembly,1,,
Meroro-David,Meroro David,,,SWAPO,SWAPO,"",National Assembly,1,,
Mouton-J-Andreas,Mouton J. Andreas,,,DTA,DTA,"",National Assembly,1,,
