id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
51MP3481,Adrian Rurawhe,"Rurawhe, Adrian",Adrian.rurawhe@parliament.govt.nz,adrianrurawhe,https://www.facebook.com/RurawheAdrian,Labour Party,labour_party,area/te_tai_hauāuru,Te Tai Hauāuru,New Zealand Parliament,51,,,http://www.parliament.nz//resource/en-NZ/51MP3481/014deee140b91326c37bb79f2490584d839477bc,
51MP3491,Alastair Scott,"Scott, Alastair",Alastair.scott@parliament.govt.nz,,,National Party,national_party,area/wairarapa,Wairarapa,New Zealand Parliament,51,,,http://www.parliament.nz//resource/en-NZ/51MP3491/b47448c49bc3d4c36a19ec240dd101064048b3d4,
51MP3291,Alfred Ngaro,"Ngaro, Alfred",alfred.ngaro@parliament.govt.nz,AlfredNgaroMP,https://www.facebook.com/alfred.ngaro,National Party,national_party,area/list,List,New Zealand Parliament,51,,,http://www.parliament.nz//resource/en-NZ/51MP3291/d1285bfa49e2ace18e270819dff3c9f454a2b8f9,
51MP2691,Amy Adams,"Adams, Amy",amy.adams@parliament.govt.nz,,,National Party,national_party,area/selwyn,Selwyn,New Zealand Parliament,51,,,http://www.parliament.nz//resource/en-NZ/51MP2691/8d74d2eea65eb0fb505ed47999c6ce2127ec8556,
51MP3501,Andrew Bayly,"Bayly, Andrew",Andrew.bayly@parliament.govt.nz,,,National Party,national_party,area/hunua,Hunua,New Zealand Parliament,51,,,http://www.parliament.nz//resource/en-NZ/51MP3501/909be56da83c0e2029c3db1cded6ef31490b044f,
51MP3181,Andrew Little,"Little, Andrew",andrew.little@parliament.govt.nz,AndrewLittleMP,https://www.facebook.com/AndrewLittleLabour,Labour Party,labour_party,area/list,List,New Zealand Parliament,51,,,http://www.parliament.nz//resource/en-NZ/51MP3181/682d8e907673ac2fd13804dce3e411f2a8b28434,
51MP581,Annette King,"King, Annette",annette.king@parliament.govt.nz,annetterongotai,https://www.facebook.com/annette.king.of.rongotai,Labour Party,labour_party,area/rongotai,Rongotai,New Zealand Parliament,51,,,http://www.parliament.nz//resource/en-NZ/51MP581/7a02c0568f4930a87d24784b14ec40a3a25c3c4f,
51MP3511,Barbara Kuriger,"Kuriger, Barbara",Barbara.Kuriger@parliament.govt.nz,BarbaraKuriger,https://www.facebook.com/barbara.kuriger,National Party,national_party,area/taranaki-king_country,Taranaki-King Country,New Zealand Parliament,51,,,http://www.parliament.nz//resource/en-NZ/51MP3511/984fecfcaba70d407bae273f2453f49cc8d3b386,
51MP2211,Barbara Stewart,"Stewart, Barbara",barbara.stewart@parliament.govt.nz,,https://www.facebook.com/barbarastewartmp,NZ First,nz_first,area/list,List,New Zealand Parliament,51,,,http://www.parliament.nz//resource/en-NZ/51MP2211/d2c41f4d1480669619034545607aba765b53e1ee,
51MP321,Bill English,"English, Bill",bill.english@Parliament.govt.nz,honbillenglish,https://www.facebook.com/billenglishmp,National Party,national_party,area/list,List,New Zealand Parliament,51,,,http://www.parliament.nz//resource/en-NZ/51MP321/83f0f7a7f9952e822992665929b2a7e98edb9f14,
51MP3521,Brett Hudson,"Hudson, Brett",brett.hudson@parliament.govt.nz,bhudson_nz,https://www.facebook.com/bretthudson.national,National Party,national_party,area/list,List,New Zealand Parliament,51,,,http://www.parliament.nz//resource/en-NZ/51MP3521/513493142ff679ccefe08a401a9b45ffc2750625,
51MP2971,Carmel Sepuloni,"Sepuloni, Carmel",carmel.sepuloni@parliament.govt.nz,CarmelSepuloni,,Labour Party,labour_party,area/kelston,Kelston,New Zealand Parliament,51,,,http://www.parliament.nz//resource/en-NZ/51MP2971/4816e25608b92c7756efe5ce1ea85ebafe3802be,
