id,name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
abel-baptista,Abel Baptista,abel.l.baptista@cds.parlamento.pt,,,CDS-PP,cds-pp,area/viana_do_castelo,Viana do Castelo,Assembleia da República,10,,,http://demo.cratica.org/media/img/deputados/2167.jpg,
adao-silva,Adão Silva,adaosilva@psd.parlamento.pt,,,PSD,psd,area/bragança,Bragança,Assembleia da República,10,,,http://demo.cratica.org/media/img/deputados/3.jpg,
alberto-costa,Alberto Costa,gp_ps@ps.parlamento.pt,,,PS,ps,area/leiria,Leiria,Assembleia da República,10,,,http://demo.cratica.org/media/img/deputados/143.jpg,
alberto-martins,Alberto Martins,,,,PS,ps,area/porto,Porto,Assembleia da República,10,,,http://demo.cratica.org/media/img/deputados/462.jpg,
altino-bessa,Altino Bessa,abessa@cds.parlamento.pt,,,CDS-PP,cds-pp,area/braga,Braga,Assembleia da República,10,,,http://demo.cratica.org/media/img/deputados/1048.jpg,
ana-catarina-mendonca-mendes,Ana Catarina Mendonça Mendes,catarina@ps.parlamento.pt,,,PS,ps,area/setúbal,Setúbal,Assembleia da República,10,,,http://demo.cratica.org/media/img/deputados/1212.jpg,
ana-paula-vitorino,Ana Paula Vitorino,gp_ps@ps.parlamento.pt,,,PS,ps,area/lisboa,Lisboa,Assembleia da República,10,,,http://demo.cratica.org/media/img/deputados/2263.jpg,
antonio-braga,António Braga,,,,PS,ps,area/braga,Braga,Assembleia da República,10,,,http://demo.cratica.org/media/img/deputados/152.jpg,
antonio-filipe,António Filipe,af@pcp.parlamento.pt,http://twitter.com/AntonioFilipe,,PCP,pcp,area/lisboa,Lisboa,Assembleia da República,10,,,http://demo.cratica.org/media/img/deputados/209.jpg,
antonio-gameiro,António Gameiro,agameiro@ps.parlamento.pt,,,PS,ps,area/santarém,Santarém,Assembleia da República,10,,,http://demo.cratica.org/media/img/deputados/1977.jpg,
armenio-santos,Arménio Santos,asantos@psd.parlamento.pt,,,PSD,psd,area/lisboa,Lisboa,Assembleia da República,10,,,http://demo.cratica.org/media/img/deputados/26.jpg,
bravo-nico,Bravo Nico,bravonico@ps.parlamento.pt,,,PS,ps,area/Évora,Évora,Assembleia da República,10,,,http://demo.cratica.org/media/img/deputados/2729.jpg,
bruno-dias,Bruno Dias,,,,PCP,pcp,area/setúbal,Setúbal,Assembleia da República,10,,,http://demo.cratica.org/media/img/deputados/1715.jpg,
bruno-vitorino,Bruno Vitorino,,,,PSD,psd,area/setúbal,Setúbal,Assembleia da República,10,,,http://demo.cratica.org/media/img/deputados/1713.jpg,
carlos-alberto-goncalves,Carlos Alberto Gonçalves,carlosgoncalves@psd.parlamento.pt,,,PSD,psd,area/europa,Europa,Assembleia da República,10,,,http://demo.cratica.org/media/img/deputados/1458.jpg,
carlos-pascoa-goncalves,Carlos Páscoa Gonçalves,,,,PSD,psd,area/fora_da_europa,Fora da Europa,Assembleia da República,10,,,http://demo.cratica.org/media/img/deputados/2104.jpg,
cecilia-honorio,Cecília Honório,cecilia.honorio@be.parlamento.pt,,,BE,be,area/lisboa,Lisboa,Assembleia da República,10,,,http://demo.cratica.org/media/img/deputados/2194.jpg,
celeste-correia,Celeste Correia,ccorreia@ps.parlamento.pt,,,PS,ps,area/lisboa,Lisboa,Assembleia da República,10,,,http://demo.cratica.org/media/img/deputados/614.jpg,
correia-de-jesus,Correia de Jesus,cjesus@psd.parlamento.pt,,,PSD,psd,area/madeira,Madeira,Assembleia da República,10,,,http://demo.cratica.org/media/img/deputados/397.jpg,
duarte-pacheco,Duarte Pacheco,dpacheco@psd.parlamento.pt,http://twitter.com/duartepacheco,,PSD,psd,area/lisboa,Lisboa,Assembleia da República,10,,,http://demo.cratica.org/media/img/deputados/42.jpg,
eduardo-cabrita,Eduardo Cabrita,gp_ps@ps.parlamento.pt,,,PS,ps,area/setúbal,Setúbal,Assembleia da República,10,,,http://demo.cratica.org/media/img/deputados/1987.jpg,
feliciano-barreiras-duarte,Feliciano Barreiras Duarte,,,,PSD,psd,area/leiria,Leiria,Assembleia da República,10,,,http://demo.cratica.org/media/img/deputados/1619.jpg,
fernando-jesus,Fernando Jesus,fernandojesus@ps.parlamento,,,PS,ps,area/porto,Porto,Assembleia da República,10,,,http://demo.cratica.org/media/img/deputados/487.jpg,
fernando-negrao,Fernando Negrão,f.negrao@psd.parlamento.pt,,,PSD,psd,area/setúbal,Setúbal,Assembleia da República,10,,,http://demo.cratica.org/media/img/deputados/1905.jpg,
fernando-serrasqueiro,Fernando Serrasqueiro,,,,PS,ps,area/castelo_branco,Castelo Branco,Assembleia da República,10,,,http://demo.cratica.org/media/img/deputados/428.jpg,
ferro-rodrigues,Ferro Rodrigues,,,,PS,ps,area/lisboa,Lisboa,Assembleia da República,10,,,http://demo.cratica.org/media/img/deputados/163.jpg,
francisco-lopes,Francisco Lopes,fl@pcp.parlamento.pt,,,PCP,pcp,area/setúbal,Setúbal,Assembleia da República,10,,,http://demo.cratica.org/media/img/deputados/2077.jpg,
gloria-araujo,Glória Araújo,gp_ps@ps.parlamento.pt,,,PS,ps,area/porto,Porto,Assembleia da República,10,,,http://demo.cratica.org/media/img/deputados/2107.jpg,
guilherme-silva,Guilherme Silva,gsilva@psd.parlamento.pt,,,PSD,psd,area/madeira,Madeira,Assembleia da República,10,,,http://demo.cratica.org/media/img/deputados/618.jpg,
helder-amaral,Helder Amaral,hamaral@cds.parlamento.pt,http://twitter.com/helderamaralcds,,CDS-PP,cds-pp,area/viseu,Viseu,Assembleia da República,10,,,http://demo.cratica.org/media/img/deputados/1450.jpg,
helena-pinto,Helena Pinto,helena.pinto@be.parlamento.pt,http://twitter.com/HelenaPinto,,BE,be,area/lisboa,Lisboa,Assembleia da República,10,,,http://demo.cratica.org/media/img/deputados/2191.jpg,
heloisa-apolonia,Heloísa Apolónia,heloisa.apolonia@pev.parlamento.pt,http://twitter.com/HeloisaApolonia,,PEV,pev,area/setúbal,Setúbal,Assembleia da República,10,,,http://demo.cratica.org/media/img/deputados/834.jpg,
