id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
adao-silva,Adão Silva,Adão Silva,adaosilva@psd.parlamento.pt,,,PSD,psd,area/bragança,Bragança,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/3.jpg,
alberto-costa,Alberto Costa,Alberto Costa,gp_ps@ps.parlamento.pt,,,PS,ps,area/lisboa,Lisboa,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/143.jpg,
altino-bessa,Altino Bessa,Altino Bessa,abessa@cds.parlamento.pt,,,CDS-PP,cds-pp,area/braga,Braga,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/1048.jpg,
ana-catarina-mendonca-mendes,Ana Catarina Mendonça Mendes,Ana Catarina Mendonça Mendes,catarina@ps.parlamento.pt,,,PS,ps,area/setúbal,Setúbal,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/1212.jpg,
antonio-braga,António Braga,António Braga,,,,PS,ps,area/braga,Braga,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/152.jpg,
antonio-filipe,António Filipe,António Filipe,af@pcp.parlamento.pt,AntonioFilipe,,PCP,pcp,area/lisboa,Lisboa,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/209.jpg,
armenio-santos,Arménio Santos,Arménio Santos,asantos@psd.parlamento.pt,,,PSD,psd,area/lisboa,Lisboa,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/26.jpg,
bruno-dias,Bruno Dias,Bruno Dias,,,,PCP,pcp,area/setúbal,Setúbal,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/1715.jpg,
bruno-vitorino,Bruno Vitorino,Bruno Vitorino,,,,PSD,psd,area/setúbal,Setúbal,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/1713.jpg,
celeste-correia,Celeste Correia,Celeste Correia,ccorreia@ps.parlamento.pt,,,PS,ps,area/lisboa,Lisboa,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/614.jpg,
correia-de-jesus,Correia de Jesus,Correia de Jesus,cjesus@psd.parlamento.pt,,,PSD,psd,area/madeira,Madeira,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/397.jpg,
duarte-pacheco,Duarte Pacheco,Duarte Pacheco,dpacheco@psd.parlamento.pt,duartepacheco,,PSD,psd,area/lisboa,Lisboa,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/42.jpg,
feliciano-barreiras-duarte,Feliciano Barreiras Duarte,Feliciano Barreiras Duarte,,,,PSD,psd,area/leiria,Leiria,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/1619.jpg,
fernando-jesus,Fernando Jesus,Fernando Jesus,fernandojesus@ps.parlamento,,,PS,ps,area/porto,Porto,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/487.jpg,
fernando-serrasqueiro,Fernando Serrasqueiro,Fernando Serrasqueiro,,,,PS,ps,area/castelo_branco,Castelo Branco,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/428.jpg,
ferro-rodrigues,Ferro Rodrigues,Ferro Rodrigues,,,,PS,ps,area/leiria,Leiria,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/163.jpg,
guilherme-silva,Guilherme Silva,Guilherme Silva,gsilva@psd.parlamento.pt,,,PSD,psd,area/madeira,Madeira,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/618.jpg,
heloisa-apolonia,Heloísa Apolónia,Heloísa Apolónia,heloisa.apolonia@pev.parlamento.pt,HeloisaApolonia,,PEV,pev,area/setúbal,Setúbal,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/834.jpg,
hugo-velosa,Hugo Velosa,Hugo Velosa,,,,PSD,psd,area/madeira,Madeira,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/1537.jpg,
joaquim-ponte,Joaquim Ponte,Joaquim Ponte,jponte@psd.parlamento.pt,,,PSD,psd,area/açores,Açores,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/1826.jpg,
jorge-lacao,Jorge Lacão,Jorge Lacão,,,,PS,ps,area/santarém,Santarém,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/179.jpg,
jose-junqueiro,José Junqueiro,José Junqueiro,,,,PS,ps,area/viseu,Viseu,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/1435.jpg,
jose-lello,José Lello,José Lello,joselello@ps.parlamento.pt,joselello,,PS,ps,area/porto,Porto,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/187.jpg,
jose-luis-ferreira,José Luís Ferreira,José Luís Ferreira,josé.ferreira@pev.parlamento.pt,JoseLFerreira,,PEV,pev,area/lisboa,Lisboa,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/780.jpg,
jose-magalhaes,José Magalhães,José Magalhães,,,,PS,ps,area/lisboa,Lisboa,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/189.jpg,
jose-ribeiro-e-castro,José Ribeiro e Castro,José Ribeiro e Castro,jrcastro@cds.parlamento.pt,ribeiroecastro,,CDS-PP,cds-pp,area/braga,Braga,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/1584.jpg,
jose-de-matos-correia,José de Matos Correia,José de Matos Correia,jmcorreia@psd.parlamento.pt,,,PSD,psd,area/lisboa,Lisboa,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/1643.jpg,
joao-rebelo,João Rebelo,João Rebelo,jrebelo@cds.parlamento.pt,,,CDS-PP,cds-pp,area/lisboa,Lisboa,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/1654.jpg,
laurentino-dias,Laurentino Dias,Laurentino Dias,,,,PS,ps,area/braga,Braga,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/262.jpg,
luis-fazenda,Luís Fazenda,Luís Fazenda,luis.fazenda@be.parlamento.pt,,,BE,be,area/lisboa,Lisboa,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/263.jpg,
luis-pedro-pimentel,Luís Pedro Pimentel,Luís Pedro Pimentel,,,,PSD,psd,area/vila_real,Vila Real,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/1733.jpg,
maria-antonia-de-almeida-santos,Maria Antónia de Almeida Santos,Maria Antónia de Almeida Santos,maasantos@ps.parlamento.pt,,,PS,ps,area/coimbra,Coimbra,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/1594.jpg,
maria-de-belem-roseira,Maria de Belém Roseira,Maria de Belém Roseira,mbelemroseira@ps.parlamento.pt,,,PS,ps,area/porto,Porto,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/1671.jpg,
miguel-coelho,Miguel Coelho,Miguel Coelho,mcoelho@ps.parlamento.pt,,,PS,ps,area/lisboa,Lisboa,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/1164.jpg,
miguel-macedo,Miguel Macedo,Miguel Macedo,miguelmacedo@psd.parlamento.pt,,,PSD,psd,area/braga,Braga,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/123.jpg,
miranda-calha,Miranda Calha,Miranda Calha,mcalha@ps.parlamento.pt,,,PS,ps,area/portalegre,Portalegre,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/193.jpg,
mota-amaral,Mota Amaral,Mota Amaral,mota.amaral@ar.parlamento.pt,,,PSD,psd,area/açores,Açores,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/390.jpg,
mota-andrade,Mota Andrade,Mota Andrade,motaandrade@ps.parlamento.pt,,,PS,ps,area/bragança,Bragança,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/1512.jpg,
paulo-pisco,Paulo Pisco,Paulo Pisco,gp_ps@ps.parlamento.pt,,,PS,ps,area/europa,Europa,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/1741.jpg,
pedro-alves,Pedro Alves,Pedro Alves,,,,PSD,psd,area/viseu,Viseu,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/1738.jpg,
pedro-pinto,Pedro Pinto,Pedro Pinto,,,,PSD,psd,area/porto,Porto,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/629.jpg,
raul-de-almeida,Raúl de Almeida,Raúl de Almeida,raul.almeida@cds.parlamento.pt,,,CDS-PP,cds-pp,area/aveiro,Aveiro,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/1801.jpg,
renato-sampaio,Renato Sampaio,Renato Sampaio,,,,PS,ps,area/porto,Porto,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/1679.jpg,
rosa-maria-bastos-albernaz,Rosa Maria Bastos Albernaz,Rosa Maria Bastos Albernaz,albernaz@ps.parlamento.pt,,,PS,ps,area/aveiro,Aveiro,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/204.jpg,
sonia-fertuzinhos,Sónia Fertuzinhos,Sónia Fertuzinhos,sfertuzinhos@ps.parlamento.pt,,,PS,ps,area/braga,Braga,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/1028.jpg,
telmo-correia,Telmo Correia,Telmo Correia,tcorreia@cds.parlamento.pt,Telmo_Correia,,CDS-PP,cds-pp,area/lisboa,Lisboa,Assembleia da República,8,,,http://demo.cratica.org/media/img/deputados/1655.jpg,
