id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date
abel-baptista,Abel Baptista,abel.l.baptista@cds.parlamento.pt,"",CDS-PP,767606b9-ded7-4aca-a7ca-f16ba1825ed3,Viana do Castelo,Assembleia da República,11,,
acacio-pinto,Acácio Pinto,gp_ps@ps.parlamento.pt,"",PS,8b7c0e04-37ad-444e-82cc-683a6a48a7f2,Viseu,Assembleia da República,11,,
adriano-rafael-moreira,Adriano Rafael Moreira,"","",PSD,025b30da-bc75-4cf9-ae1b-ed4d608f6c17,Porto,Assembleia da República,11,,
adao-silva,Adão Silva,adaosilva@psd.parlamento.pt,"",PSD,025b30da-bc75-4cf9-ae1b-ed4d608f6c17,Bragança,Assembleia da República,11,,
alberto-costa,Alberto Costa,gp_ps@ps.parlamento.pt,"",PS,8b7c0e04-37ad-444e-82cc-683a6a48a7f2,Lisboa,Assembleia da República,11,,
alberto-martins,Alberto Martins,"","",PS,8b7c0e04-37ad-444e-82cc-683a6a48a7f2,Porto,Assembleia da República,11,,
altino-bessa,Altino Bessa,abessa@cds.parlamento.pt,"",CDS-PP,767606b9-ded7-4aca-a7ca-f16ba1825ed3,Braga,Assembleia da República,11,,
amadeu-soares-albergaria,Amadeu Soares Albergaria,"",http://twitter.com/aalbergaria,PSD,025b30da-bc75-4cf9-ae1b-ed4d608f6c17,Aveiro,Assembleia da República,11,,
ana-catarina-mendonca-mendes,Ana Catarina Mendonça Mendes,catarina@ps.parlamento.pt,"",PS,8b7c0e04-37ad-444e-82cc-683a6a48a7f2,Setúbal,Assembleia da República,11,,
ana-paula-vitorino,Ana Paula Vitorino,gp_ps@ps.parlamento.pt,"",PS,8b7c0e04-37ad-444e-82cc-683a6a48a7f2,Porto,Assembleia da República,11,,
antonio-braga,António Braga,"","",PS,8b7c0e04-37ad-444e-82cc-683a6a48a7f2,Braga,Assembleia da República,11,,
antonio-filipe,António Filipe,af@pcp.parlamento.pt,http://twitter.com/AntonioFilipe,PCP,af5e2258-6a08-4f67-9a5e-e6bb1d5682c7,Santarém,Assembleia da República,11,,
antonio-gameiro,António Gameiro,agameiro@ps.parlamento.pt,"",PS,8b7c0e04-37ad-444e-82cc-683a6a48a7f2,Santarém,Assembleia da República,11,,
armenio-santos,Arménio Santos,asantos@psd.parlamento.pt,"",PSD,025b30da-bc75-4cf9-ae1b-ed4d608f6c17,Lisboa,Assembleia da República,11,,
artur-rego,Artur Rêgo,arturrego@cds.parlamento.pt,"",CDS-PP,767606b9-ded7-4aca-a7ca-f16ba1825ed3,Faro,Assembleia da República,11,,
bravo-nico,Bravo Nico,bravonico@ps.parlamento.pt,"",PS,8b7c0e04-37ad-444e-82cc-683a6a48a7f2,Évora,Assembleia da República,11,,
bruno-dias,Bruno Dias,"","",PCP,af5e2258-6a08-4f67-9a5e-e6bb1d5682c7,Setúbal,Assembleia da República,11,,
carina-oliveira,Carina Oliveira,"","",PSD,025b30da-bc75-4cf9-ae1b-ed4d608f6c17,Santarém,Assembleia da República,11,,
carla-rodrigues,Carla Rodrigues,"","",PSD,025b30da-bc75-4cf9-ae1b-ed4d608f6c17,Aveiro,Assembleia da República,11,,
carlos-alberto-goncalves,Carlos Alberto Gonçalves,carlosgoncalves@psd.parlamento.pt,"",PSD,025b30da-bc75-4cf9-ae1b-ed4d608f6c17,Europa,Assembleia da República,11,,
carlos-costa-neves,Carlos Costa Neves,"","",PSD,025b30da-bc75-4cf9-ae1b-ed4d608f6c17,Castelo Branco,Assembleia da República,11,,
carlos-peixoto,Carlos Peixoto,"","",PSD,025b30da-bc75-4cf9-ae1b-ed4d608f6c17,Guarda,Assembleia da República,11,,
carlos-pascoa-goncalves,Carlos Páscoa Gonçalves,"","",PSD,025b30da-bc75-4cf9-ae1b-ed4d608f6c17,Fora da Europa,Assembleia da República,11,,
carlos-sao-martinho,Carlos São Martinho,"","",PSD,025b30da-bc75-4cf9-ae1b-ed4d608f6c17,Castelo Branco,Assembleia da República,11,,
catarina-marcelino,Catarina Marcelino,"","",PS,8b7c0e04-37ad-444e-82cc-683a6a48a7f2,Setúbal,Assembleia da República,11,,
catarina-martins,Catarina Martins,catarina.martins@be.parlamento.pt,http://twitter.com/catarina_mart,BE,f840ca0d-5f4a-4bad-b432-64f4caa0193c,Porto,Assembleia da República,11,,
cecilia-honorio,Cecília Honório,cecilia.honorio@be.parlamento.pt,"",BE,f840ca0d-5f4a-4bad-b432-64f4caa0193c,Faro,Assembleia da República,11,,
cecilia-meireles,Cecília Meireles,cmeireles@cds.parlamento.pt,"",CDS-PP,767606b9-ded7-4aca-a7ca-f16ba1825ed3,Porto,Assembleia da República,11,,
celeste-correia,Celeste Correia,ccorreia@ps.parlamento.pt,"",PS,8b7c0e04-37ad-444e-82cc-683a6a48a7f2,Lisboa,Assembleia da República,11,,
correia-de-jesus,Correia de Jesus,cjesus@psd.parlamento.pt,"",PSD,025b30da-bc75-4cf9-ae1b-ed4d608f6c17,Madeira,Assembleia da República,11,,
couto-dos-santos,Couto dos Santos,"","",PSD,025b30da-bc75-4cf9-ae1b-ed4d608f6c17,Aveiro,Assembleia da República,11,,
cristovao-crespo,Cristóvão Crespo,"","",PSD,025b30da-bc75-4cf9-ae1b-ed4d608f6c17,Portalegre,Assembleia da República,11,,
duarte-pacheco,Duarte Pacheco,dpacheco@psd.parlamento.pt,http://twitter.com/duartepacheco,PSD,025b30da-bc75-4cf9-ae1b-ed4d608f6c17,Lisboa,Assembleia da República,11,,
eduardo-cabrita,Eduardo Cabrita,gp_ps@ps.parlamento.pt,"",PS,8b7c0e04-37ad-444e-82cc-683a6a48a7f2,Setúbal,Assembleia da República,11,,
elza-pais,Elza Pais,"","",PS,8b7c0e04-37ad-444e-82cc-683a6a48a7f2,Viseu,Assembleia da República,11,,
euridice-pereira,Eurídice Pereira,gp_ps@ps.parlamento.pt,"",PS,8b7c0e04-37ad-444e-82cc-683a6a48a7f2,Setúbal,Assembleia da República,11,,
fernando-jesus,Fernando Jesus,fernandojesus@ps.parlamento,"",PS,8b7c0e04-37ad-444e-82cc-683a6a48a7f2,Porto,Assembleia da República,11,,
fernando-marques,Fernando Marques,"","",PSD,025b30da-bc75-4cf9-ae1b-ed4d608f6c17,Leiria,Assembleia da República,11,,
fernando-negrao,Fernando Negrão,f.negrao@psd.parlamento.pt,"",PSD,025b30da-bc75-4cf9-ae1b-ed4d608f6c17,Setúbal,Assembleia da República,11,,
fernando-serrasqueiro,Fernando Serrasqueiro,"","",PS,8b7c0e04-37ad-444e-82cc-683a6a48a7f2,Castelo Branco,Assembleia da República,11,,
filipe-lobo-d--avila,Filipe Lobo D' Ávila,filipe.avila@cds.parlamento.pt,"",CDS-PP,767606b9-ded7-4aca-a7ca-f16ba1825ed3,Santarém,Assembleia da República,11,,
filipe-neto-brandao,Filipe Neto Brandão,"","",PS,8b7c0e04-37ad-444e-82cc-683a6a48a7f2,Aveiro,Assembleia da República,11,,
francisca-almeida,Francisca Almeida,"","",PSD,025b30da-bc75-4cf9-ae1b-ed4d608f6c17,Braga,Assembleia da República,11,,
francisco-lopes,Francisco Lopes,fl@pcp.parlamento.pt,"",PCP,af5e2258-6a08-4f67-9a5e-e6bb1d5682c7,Setúbal,Assembleia da República,11,,
gloria-araujo,Glória Araújo,gp_ps@ps.parlamento.pt,"",PS,8b7c0e04-37ad-444e-82cc-683a6a48a7f2,Porto,Assembleia da República,11,,
guilherme-silva,Guilherme Silva,gsilva@psd.parlamento.pt,"",PSD,025b30da-bc75-4cf9-ae1b-ed4d608f6c17,Madeira,Assembleia da República,11,,
helder-amaral,Helder Amaral,hamaral@cds.parlamento.pt,http://twitter.com/helderamaralcds,CDS-PP,767606b9-ded7-4aca-a7ca-f16ba1825ed3,Viseu,Assembleia da República,11,,
helena-pinto,Helena Pinto,helena.pinto@be.parlamento.pt,http://twitter.com/HelenaPinto,BE,f840ca0d-5f4a-4bad-b432-64f4caa0193c,Lisboa,Assembleia da República,11,,
heloisa-apolonia,Heloísa Apolónia,heloisa.apolonia@pev.parlamento.pt,http://twitter.com/HeloisaApolonia,PEV,9f0e8719-aac1-48f3-a755-35fc4360f385,Setúbal,Assembleia da República,11,,
hortense-martins,Hortense Martins,"","",PS,8b7c0e04-37ad-444e-82cc-683a6a48a7f2,Castelo Branco,Assembleia da República,11,,
hugo-velosa,Hugo Velosa,"","",PSD,025b30da-bc75-4cf9-ae1b-ed4d608f6c17,Madeira,Assembleia da República,11,,
idalia-salvador-serrao,Idália Salvador Serrão,"","",PS,8b7c0e04-37ad-444e-82cc-683a6a48a7f2,Santarém,Assembleia da República,11,,
ines-de-medeiros,Inês de Medeiros,"","",PS,8b7c0e04-37ad-444e-82cc-683a6a48a7f2,Lisboa,Assembleia da República,11,,
isabel-galrica-neto,Isabel Galriça Neto,isaneto@cds.parlamento.pt,"",CDS-PP,767606b9-ded7-4aca-a7ca-f16ba1825ed3,Lisboa,Assembleia da República,11,,
